File Name,Bitrate (kbps),Quality Category,Size (MB),Artist,Title,Album
10 - Theme for a Strange World.flac,3444,High-Resolution (1500+ kbps),114.56,Joe Satriani,Theme for a Strange World,Super Colossal
02 - Just Like Lightnin'.flac,3333,High-Resolution (1500+ kbps),95.78,Joe Satriani,Just Like Lightnin',Super Colossal
11 - Movin' On.flac,3302,High-Resolution (1500+ kbps),96.46,Joe Satriani,Movin' On,Super Colossal
03 - It's So Good.flac,3279,High-Resolution (1500+ kbps),99.29,Joe Satriani,It's So Good,Super Colossal
04 - Redshift Riders.flac,3231,High-Resolution (1500+ kbps),111.71,Joe Satriani,Redshift Riders,Super Colossal
07 - One Robot's Dream.flac,3209,High-Resolution (1500+ kbps),143.85,Joe Satriani,One Robot's Dream,Super Colossal
05 - Ten Words.flac,3167,High-Resolution (1500+ kbps),78.55,Joe Satriani,Ten Words,Super Colossal
13 - Crowd Chant.flac,3142,High-Resolution (1500+ kbps),73.43,Joe Satriani,Crowd Chant,Super Colossal
09 - Made of Tears.flac,3122,High-Resolution (1500+ kbps),123.56,Joe Satriani,Made of Tears,Super Colossal
01 - Super Colossal.flac,3120,High-Resolution (1500+ kbps),94.47,Joe Satriani,Super Colossal,Super Colossal
08 - The Meaning of Love.flac,3106,High-Resolution (1500+ kbps),101.48,Joe Satriani,The Meaning of Love,Super Colossal
06 - A Cool New Way.flac,3000,High-Resolution (1500+ kbps),133.42,Joe Satriani,A Cool New Way,Super Colossal
12 - A Love Eternal.flac,2954,High-Resolution (1500+ kbps),75.03,Joe Satriani,A Love Eternal,Super Colossal
Andrei - Bobcat.wav,2832,High-Resolution (1500+ kbps),105.35,Unknown,Unknown,Unknown
Andre Rizo - Caval (Original Mix)Master 2.wav,1412,Lossless (700-1499 kbps),60.27,Unknown,Unknown,Unknown
000. Playlist Intro by CMochonsuny.mp3,1374,Lossless (700-1499 kbps),1.97,Unknown,Unknown,Unknown
[03] Vreau Bani (Interludiu).flac,1158,Lossless (700-1499 kbps),5.66,Codu’ penal,Vreau Bani (Interludiu),În Familie (Pentru Bani)
Tony Ray - My Heart Is Cryin' .flac,1138,Lossless (700-1499 kbps),31.48,Tony Ray,My Heart Is Cryin',Unknown
Adrian Sina & Beverlei Brown - I Can't Live Without You .flac,1122,Lossless (700-1499 kbps),32.52,Adrian Sina & Beverlei Brown,I Can't Live Without You,Unknown
[01] Intro.flac,1118,Lossless (700-1499 kbps),13.20,Codu’ penal,Intro,În Familie (Pentru Bani)
Holograf - Ţi-am dat un inel .flac,1113,Lossless (700-1499 kbps),39.43,Holograf,Ţi-am dat un inel,Unknown
Inna - 10 Minutes .flac,1112,Lossless (700-1499 kbps),26.38,Inna,10 Minutes,Unknown
Crush + Alexandra - 2nite We'll Rise .flac,1108,Lossless (700-1499 kbps),35.28,Crush + Alexandra,2nite We'll Rise,Unknown
Anca Parghel - Andalle .flac,1106,Lossless (700-1499 kbps),26.13,Anca Parghel,Andalle,Unknown
Liviu Hodor feat. Mona - Da-mi Vara Inapoi .flac,1103,Lossless (700-1499 kbps),28.82,Liviu Hodor feat. Mona,Da-mi Vara Inapoi,Unknown
Liviu Hodor feat. Mona - So In Love .flac,1103,Lossless (700-1499 kbps),28.82,Liviu Hodor feat. Mona,So In Love,Unknown
Emil Lassaria & F.Charm - 9 MM .flac,1102,Lossless (700-1499 kbps),29.82,Emil Lassaria & F.Charm,9 MM,Unknown
109 - All Out.flac,1102,Lossless (700-1499 kbps),43.62,2Pac featuring OUTLAWZ,All Out,Until the End of Time
Akcent - King of Disco .flac,1099,Lossless (700-1499 kbps),29.23,Akcent,King of Disco,Unknown
Tom Boxer & Anca Parghel - Brasil .flac,1098,Lossless (700-1499 kbps),29.21,Tom Boxer & Anca Parghel,Brasil,Unknown
